DeathZip,Year,Deaths
90058,2022,6
90058,2023,2
90059,2012,3
90059,2014,3
90059,2015,5
90059,2016,10
90059,2017,6
90059,2018,7
90059,2019,4
90059,2020,20
90059,2021,20
90059,2022,17
90059,2023,14
90061,2013,2
90061,2014,2
90061,2015,2
90061,2016,2
90061,2017,4
90061,2018,10
90061,2019,2
90061,2020,14
90061,2021,6
90061,2022,16
90061,2023,11
90062,2012,3
90062,2013,2
90062,2014,2
90062,2015,3
90062,2016,3
90062,2017,4
90062,2018,3
90062,2019,1
90062,2020,3
90062,2021,16
90062,2022,12
90062,2023,9
90063,2013,2
90063,2014,3
90063,2015,3
90063,2016,1
90063,2017,4
90063,2019,4
90063,2020,6
90063,2021,10
90063,2022,8
90063,2023,5
90064,2012,2
90064,2014,3
90064,2015,1
90064,2016,1
90064,2017,4
90064,2019,7
90064,2020,6
90064,2021,12
90064,2022,15
90064,2023,9
90065,2012,2
90065,2013,2
90065,2016,4
90065,2017,5
90065,2018,4
90065,2019,2
90065,2020,13
90065,2021,6
90065,2022,9
90065,2023,11
90066,2012,3
90066,2013,2
90066,2014,2
90066,2015,5
90066,2016,7
90066,2017,5
90066,2018,5
90066,2019,6
90066,2020,16
90066,2021,8
90066,2022,16
90066,2023,7
90067,2017,1
90067,2018,1
90068,2012,1
90068,2013,4
90068,2014,5
90068,2015,2
90068,2016,3
90068,2017,2
90068,2018,3
90068,2019,5
90068,2020,7
90068,2021,7
90068,2022,8
90068,2023,5
90069,2012,1
90069,2013,4
90069,2014,4
90069,2015,2
90069,2016,3
90069,2017,5
90069,2018,5
90069,2019,12
90069,2020,8
90069,2021,8
90069,2022,7
90069,2023,3
90070,2020,1
90071,2018,1
90071,2019,1
90071,2020,4
90071,2021,8
90071,2022,4
90071,2023,1
90073,2016,1
90073,2017,1
90073,2018,1
90073,2019,1
90073,2020,1
90073,2022,2
90077,2012,1
90077,2019,1
90077,2021,1
90094,2016,1
90094,2021,2
90094,2022,1
90095,2012,1
90095,2013,2
